scenEPR,scenCO2,scenH2,tech,generation,H2gene
3000,0,150,Offshore,22.32,50
3000,100,150,Offshore,9.67,51.95
3000,200,150,Offshore,0.00,63.8
3000,300,150,Offshore,2.98,67.175
3000,400,150,Offshore,13.08,68.9
3000,500,150,Offshore,10.64,61.1
3000,0,250,Offshore,26.97,50
3000,100,250,Offshore,8.31,50
3000,200,250,Offshore,0.00,51.05
3000,300,250,Offshore,0.00,60.775
3000,400,250,Offshore,0.00,62.775
3000,500,250,Offshore,0.00,59.3
3000,0,350,Offshore,31.73,50
3000,100,350,Offshore,8.30,50
3000,200,350,Offshore,0.00,51.05
3000,300,350,Offshore,0.00,51.075
3000,400,350,Offshore,0.00,59.825
3000,500,350,Offshore,0.00,59.75
3000,0,450,Offshore,16.07,50
3000,100,450,Offshore,4.63,50
3000,200,450,Offshore,0.00,50
3000,300,450,Offshore,0.00,51.075
3000,400,450,Offshore,0.00,53.2
3000,500,450,Offshore,0.00,59.275
3000,0,550,Offshore,14.52,50
3000,100,550,Offshore,3.13,50
3000,200,550,Offshore,0.00,50
3000,300,550,Offshore,0.00,51.125
3000,400,550,Offshore,0.00,51.3
3000,500,550,Offshore,0.00,51.95
3000,0,650,Offshore,0.00,50
3000,100,650,Offshore,1.74,50
3000,200,650,Offshore,0.00,50
3000,300,650,Offshore,0.00,51.2
3000,400,650,Offshore,0.00,51.375
3000,500,650,Offshore,0.00,51.6
3900,0,150,Offshore,22.07,50
3900,100,150,Offshore,83.03,64.675
3900,200,150,Offshore,91.59,72.05
3900,300,150,Offshore,91.59,80.45
3900,400,150,Offshore,91.59,84.925
3900,500,150,Offshore,91.59,85.175
3900,0,250,Offshore,26.95,50
3900,100,250,Offshore,70.43,50
3900,200,250,Offshore,91.59,63.725
3900,300,250,Offshore,91.59,72.075
3900,400,250,Offshore,91.59,79.65
3900,500,250,Offshore,91.59,80.775
3900,0,350,Offshore,21.11,50
3900,100,350,Offshore,75.98,50
3900,200,350,Offshore,83.98,51.55
3900,300,350,Offshore,91.59,64.2
3900,400,350,Offshore,91.59,73.35
3900,500,350,Offshore,91.59,77.25
3900,0,450,Offshore,16.03,50
3900,100,450,Offshore,79.72,50
3900,200,450,Offshore,90.79,51.6
3900,300,450,Offshore,90.06,53.275
3900,400,450,Offshore,85.96,63.3
3900,500,450,Offshore,85.43,71.275
3900,0,550,Offshore,11.68,50
3900,100,550,Offshore,84.97,50
3900,200,550,Offshore,91.59,50
3900,300,550,Offshore,83.91,51.625
3900,400,550,Offshore,68.80,51.6
3900,500,550,Offshore,62.09,59.425
3900,0,650,Offshore,0.00,50
3900,100,650,Offshore,89.63,50
3900,200,650,Offshore,91.59,50
3900,300,650,Offshore,82.90,51.65
3900,400,650,Offshore,67.46,51.625
3900,500,650,Offshore,49.94,51.625
4800,0,150,Offshore,21.31,50
4800,100,150,Offshore,83.03,64.675
4800,200,150,Offshore,91.59,72.05
4800,300,150,Offshore,93.01,73.975
4800,400,150,Offshore,117.42,85.375
4800,500,150,Offshore,121.02,86.375
4800,0,250,Offshore,26.97,50
4800,100,250,Offshore,70.64,50
4800,200,250,Offshore,91.59,63.7
4800,300,250,Offshore,91.59,66.05
4800,400,250,Offshore,119.7,77.425
4800,500,250,Offshore,91.59,84.075
4800,0,350,Offshore,30.72,50
4800,100,350,Offshore,76.03,50
4800,200,350,Offshore,83.97,51.55
4800,300,350,Offshore,91.59,57.6
4800,400,350,Offshore,102.22,64.625
4800,500,350,Offshore,108.36,75.525
4800,0,450,Offshore,16.06,50
4800,100,450,Offshore,79.67,50
4800,200,450,Offshore,90.80,51.6
4800,300,450,Offshore,91.59,51.575
4800,400,450,Offshore,91.59,53
4800,500,450,Offshore,91.59,63.575
4800,0,550,Offshore,14.47,50
4800,100,550,Offshore,85.06,50
4800,200,550,Offshore,91.59,50
4800,300,550,Offshore,91.59,51.575
4800,400,550,Offshore,91.59,51.575
4800,500,550,Offshore,91.59,56.9
4800,0,650,Offshore,0.00,50
4800,100,650,Offshore,89.48,50
4800,200,650,Offshore,91.59,50
4800,300,650,Offshore,91.59,51.575
4800,400,650,Offshore,91.59,51.6
4800,500,650,Offshore,91.59,51.7
3000,0,150,Onshore,339.48,50
3000,100,150,Onshore,339.48,51.95
3000,200,150,Onshore,339.48,63.8
3000,300,150,Onshore,339.48,67.175
3000,400,150,Onshore,339.48,68.9
3000,500,150,Onshore,339.48,61.1
3000,0,250,Onshore,339.48,50
3000,100,250,Onshore,339.48,50
3000,200,250,Onshore,339.48,51.05
3000,300,250,Onshore,339.48,60.775
3000,400,250,Onshore,339.48,62.775
3000,500,250,Onshore,339.48,59.3
3000,0,350,Onshore,339.48,50
3000,100,350,Onshore,339.48,50
3000,200,350,Onshore,339.48,51.05
3000,300,350,Onshore,339.48,51.075
3000,400,350,Onshore,339.48,59.825
3000,500,350,Onshore,339.48,59.75
3000,0,450,Onshore,339.48,50
3000,100,450,Onshore,339.48,50
3000,200,450,Onshore,339.48,50
3000,300,450,Onshore,339.48,51.075
3000,400,450,Onshore,339.48,53.2
3000,500,450,Onshore,339.48,59.275
3000,0,550,Onshore,339.48,50
3000,100,550,Onshore,339.48,50
3000,200,550,Onshore,339.48,50
3000,300,550,Onshore,339.48,51.125
3000,400,550,Onshore,339.48,51.3
3000,500,550,Onshore,339.48,51.95
3000,0,650,Onshore,339.48,50
3000,100,650,Onshore,339.48,50
3000,200,650,Onshore,339.48,50
3000,300,650,Onshore,339.48,51.2
3000,400,650,Onshore,339.48,51.375
3000,500,650,Onshore,339.48,51.6
3900,0,150,Onshore,339.48,50
3900,100,150,Onshore,339.48,64.675
3900,200,150,Onshore,339.48,72.05
3900,300,150,Onshore,339.48,80.45
3900,400,150,Onshore,339.48,84.925
3900,500,150,Onshore,339.48,85.175
3900,0,250,Onshore,339.48,50
3900,100,250,Onshore,339.48,50
3900,200,250,Onshore,339.48,63.725
3900,300,250,Onshore,339.48,72.075
3900,400,250,Onshore,339.48,79.65
3900,500,250,Onshore,339.48,80.775
3900,0,350,Onshore,339.48,50
3900,100,350,Onshore,339.48,50
3900,200,350,Onshore,339.48,51.55
3900,300,350,Onshore,339.48,64.2
3900,400,350,Onshore,339.48,73.35
3900,500,350,Onshore,339.48,77.25
3900,0,450,Onshore,339.48,50
3900,100,450,Onshore,339.48,50
3900,200,450,Onshore,339.48,51.6
3900,300,450,Onshore,339.48,53.275
3900,400,450,Onshore,339.48,63.3
3900,500,450,Onshore,339.48,71.275
3900,0,550,Onshore,339.48,50
3900,100,550,Onshore,339.48,50
3900,200,550,Onshore,339.48,50
3900,300,550,Onshore,339.48,51.625
3900,400,550,Onshore,339.48,51.6
3900,500,550,Onshore,339.48,59.425
3900,0,650,Onshore,339.48,50
3900,100,650,Onshore,339.48,50
3900,200,650,Onshore,339.48,50
3900,300,650,Onshore,339.48,51.65
3900,400,650,Onshore,339.48,51.625
3900,500,650,Onshore,339.48,51.625
4800,0,150,Onshore,339.48,50
4800,100,150,Onshore,339.48,64.675
4800,200,150,Onshore,339.48,72.05
4800,300,150,Onshore,339.48,73.975
4800,400,150,Onshore,339.48,85.375
4800,500,150,Onshore,339.48,86.375
4800,0,250,Onshore,339.48,50
4800,100,250,Onshore,339.48,50
4800,200,250,Onshore,339.48,63.7
4800,300,250,Onshore,339.48,66.05
4800,400,250,Onshore,339.48,77.425
4800,500,250,Onshore,339.48,84.075
4800,0,350,Onshore,339.48,50
4800,100,350,Onshore,339.48,50
4800,200,350,Onshore,339.48,51.55
4800,300,350,Onshore,339.48,57.6
4800,400,350,Onshore,339.48,64.625
4800,500,350,Onshore,339.48,75.525
4800,0,450,Onshore,339.48,50
4800,100,450,Onshore,339.48,50
4800,200,450,Onshore,339.48,51.6
4800,300,450,Onshore,339.48,51.575
4800,400,450,Onshore,339.48,53
4800,500,450,Onshore,339.48,63.575
4800,0,550,Onshore,339.48,50
4800,100,550,Onshore,339.48,50
4800,200,550,Onshore,339.48,50
4800,300,550,Onshore,339.48,51.575
4800,400,550,Onshore,339.48,51.575
4800,500,550,Onshore,339.48,56.9
4800,0,650,Onshore,339.48,50
4800,100,650,Onshore,339.48,50
4800,200,650,Onshore,339.48,50
4800,300,650,Onshore,339.48,51.575
4800,400,650,Onshore,339.48,51.6
4800,500,650,Onshore,339.48,51.7
3000,0,150,PV,134.92,50
3000,100,150,PV,106.29,51.95
3000,200,150,PV,105.43,63.8
3000,300,150,PV,105.37,67.175
3000,400,150,PV,102.33,68.9
3000,500,150,PV,103.77,61.1
3000,0,250,PV,134.92,50
3000,100,250,PV,107.69,50
3000,200,250,PV,99.37,51.05
3000,300,250,PV,101.40,60.775
3000,400,250,PV,99.06,62.775
3000,500,250,PV,100.21,59.3
3000,0,350,PV,134.92,50
3000,100,350,PV,108.26,50
3000,200,350,PV,100.33,51.05
3000,300,350,PV,96.79,51.075
3000,400,350,PV,97.72,59.825
3000,500,350,PV,97.78,59.75
3000,0,450,PV,133.93,50
3000,100,450,PV,108.06,50
3000,200,450,PV,100.04,50
3000,300,450,PV,97.68,51.075
3000,400,450,PV,96.11,53.2
3000,500,450,PV,96.41,59.275
3000,0,550,PV,132.58,50
3000,100,550,PV,107.72,50
3000,200,550,PV,100.46,50
3000,300,550,PV,99.07,51.125
3000,400,550,PV,95.86,51.3
3000,500,550,PV,93.16,51.95
3000,0,650,PV,123.23,50
3000,100,650,PV,107.60,50
3000,200,650,PV,100.87,50
3000,300,650,PV,99.67,51.2
3000,400,650,PV,96.46,51.375
3000,500,650,PV,93.27,51.6
3900,0,150,PV,134.92,50
3900,100,150,PV,128.38,64.675
3900,200,150,PV,134.92,72.05
3900,300,150,PV,134.92,80.45
3900,400,150,PV,134.92,84.925
3900,500,150,PV,134.92,85.175
3900,0,250,PV,134.92,50
3900,100,250,PV,128.27,50
3900,200,250,PV,134.92,63.725
3900,300,250,PV,134.92,72.075
3900,400,250,PV,134.92,79.65
3900,500,250,PV,134.92,80.775
3900,0,350,PV,134.92,50
3900,100,350,PV,130.18,50
3900,200,350,PV,132.42,51.55
3900,300,350,PV,134.92,64.2
3900,400,350,PV,134.92,73.35
3900,500,350,PV,134.92,77.25
3900,0,450,PV,133.98,50
3900,100,450,PV,132.10,50
3900,200,450,PV,133.14,51.6
3900,300,450,PV,133.47,53.275
3900,400,450,PV,134.92,63.3
3900,500,450,PV,134.92,71.275
3900,0,550,PV,131.29,50
3900,100,550,PV,133.65,50
3900,200,550,PV,134.04,50
3900,300,550,PV,132.75,51.625
3900,400,550,PV,128.53,51.6
3900,500,550,PV,127.65,59.425
3900,0,650,PV,121.75,50
3900,100,650,PV,134.18,50
3900,200,650,PV,134.92,50
3900,300,650,PV,133.28,51.65
3900,400,650,PV,128.41,51.625
3900,500,650,PV,124.74,51.625
4800,0,150,PV,134.92,50
4800,100,150,PV,128.37,64.675
4800,200,150,PV,134.92,72.05
4800,300,150,PV,134.92,73.975
4800,400,150,PV,134.92,85.375
4800,500,150,PV,134.92,86.375
4800,0,250,PV,134.92,50
4800,100,250,PV,128.22,50
4800,200,250,PV,134.92,63.7
4800,300,250,PV,134.92,66.05
4800,400,250,PV,134.92,77.425
4800,500,250,PV,134.92,84.075
4800,0,350,PV,134.92,50
4800,100,350,PV,130.16,50
4800,200,350,PV,132.42,51.55
4800,300,350,PV,134.92,57.6
4800,400,350,PV,134.92,64.625
4800,500,350,PV,134.92,75.525
4800,0,450,PV,133.94,50
4800,100,450,PV,132.14,50
4800,200,450,PV,133.13,51.6
4800,300,450,PV,134.92,51.575
4800,400,450,PV,134.92,53
4800,500,450,PV,134.92,63.575
4800,0,550,PV,132.62,50
4800,100,550,PV,133.55,50
4800,200,550,PV,134.04,50
4800,300,550,PV,134.92,51.575
4800,400,550,PV,134.92,51.575
4800,500,550,PV,134.92,56.9
4800,0,650,PV,122.99,50
4800,100,650,PV,134.34,50
4800,200,650,PV,134.92,50
4800,300,650,PV,134.92,51.575
4800,400,650,PV,134.92,51.6
4800,500,650,PV,134.92,51.7
3000,0,150,Hydroelectricity,43.75,50
3000,100,150,Hydroelectricity,43.75,51.95
3000,200,150,Hydroelectricity,43.75,63.8
3000,300,150,Hydroelectricity,43.75,67.175
3000,400,150,Hydroelectricity,43.75,68.9
3000,500,150,Hydroelectricity,43.75,61.1
3000,0,250,Hydroelectricity,43.75,50
3000,100,250,Hydroelectricity,43.75,50
3000,200,250,Hydroelectricity,43.75,51.05
3000,300,250,Hydroelectricity,43.75,60.775
3000,400,250,Hydroelectricity,43.75,62.775
3000,500,250,Hydroelectricity,43.75,59.3
3000,0,350,Hydroelectricity,43.75,50
3000,100,350,Hydroelectricity,43.75,50
3000,200,350,Hydroelectricity,43.75,51.05
3000,300,350,Hydroelectricity,43.75,51.075
3000,400,350,Hydroelectricity,43.75,59.825
3000,500,350,Hydroelectricity,43.75,59.75
3000,0,450,Hydroelectricity,43.75,50
3000,100,450,Hydroelectricity,43.75,50
3000,200,450,Hydroelectricity,43.75,50
3000,300,450,Hydroelectricity,43.75,51.075
3000,400,450,Hydroelectricity,43.75,53.2
3000,500,450,Hydroelectricity,43.75,59.275
3000,0,550,Hydroelectricity,43.75,50
3000,100,550,Hydroelectricity,43.75,50
3000,200,550,Hydroelectricity,43.75,50
3000,300,550,Hydroelectricity,43.75,51.125
3000,400,550,Hydroelectricity,43.75,51.3
3000,500,550,Hydroelectricity,43.75,51.95
3000,0,650,Hydroelectricity,43.75,50
3000,100,650,Hydroelectricity,43.75,50
3000,200,650,Hydroelectricity,43.75,50
3000,300,650,Hydroelectricity,43.75,51.2
3000,400,650,Hydroelectricity,43.75,51.375
3000,500,650,Hydroelectricity,43.75,51.6
3900,0,150,Hydroelectricity,43.75,50
3900,100,150,Hydroelectricity,43.75,64.675
3900,200,150,Hydroelectricity,43.75,72.05
3900,300,150,Hydroelectricity,43.75,80.45
3900,400,150,Hydroelectricity,43.75,84.925
3900,500,150,Hydroelectricity,43.75,85.175
3900,0,250,Hydroelectricity,43.75,50
3900,100,250,Hydroelectricity,43.75,50
3900,200,250,Hydroelectricity,43.75,63.725
3900,300,250,Hydroelectricity,43.75,72.075
3900,400,250,Hydroelectricity,43.75,79.65
3900,500,250,Hydroelectricity,43.75,80.775
3900,0,350,Hydroelectricity,43.75,50
3900,100,350,Hydroelectricity,43.75,50
3900,200,350,Hydroelectricity,43.75,51.55
3900,300,350,Hydroelectricity,43.75,64.2
3900,400,350,Hydroelectricity,43.75,73.35
3900,500,350,Hydroelectricity,43.75,77.25
3900,0,450,Hydroelectricity,43.75,50
3900,100,450,Hydroelectricity,43.75,50
3900,200,450,Hydroelectricity,43.75,51.6
3900,300,450,Hydroelectricity,43.75,53.275
3900,400,450,Hydroelectricity,43.75,63.3
3900,500,450,Hydroelectricity,43.75,71.275
3900,0,550,Hydroelectricity,43.75,50
3900,100,550,Hydroelectricity,43.75,50
3900,200,550,Hydroelectricity,43.75,50
3900,300,550,Hydroelectricity,43.75,51.625
3900,400,550,Hydroelectricity,43.75,51.6
3900,500,550,Hydroelectricity,43.75,59.425
3900,0,650,Hydroelectricity,43.75,50
3900,100,650,Hydroelectricity,43.75,50
3900,200,650,Hydroelectricity,43.75,50
3900,300,650,Hydroelectricity,43.75,51.65
3900,400,650,Hydroelectricity,43.75,51.625
3900,500,650,Hydroelectricity,43.75,51.625
4800,0,150,Hydroelectricity,43.75,50
4800,100,150,Hydroelectricity,43.75,64.675
4800,200,150,Hydroelectricity,43.75,72.05
4800,300,150,Hydroelectricity,43.75,73.975
4800,400,150,Hydroelectricity,43.75,85.375
4800,500,150,Hydroelectricity,43.75,86.375
4800,0,250,Hydroelectricity,43.75,50
4800,100,250,Hydroelectricity,43.75,50
4800,200,250,Hydroelectricity,43.75,63.7
4800,300,250,Hydroelectricity,43.75,66.05
4800,400,250,Hydroelectricity,43.75,77.425
4800,500,250,Hydroelectricity,43.75,84.075
4800,0,350,Hydroelectricity,43.75,50
4800,100,350,Hydroelectricity,43.75,50
4800,200,350,Hydroelectricity,43.75,51.55
4800,300,350,Hydroelectricity,43.75,57.6
4800,400,350,Hydroelectricity,43.75,64.625
4800,500,350,Hydroelectricity,43.75,75.525
4800,0,450,Hydroelectricity,43.75,50
4800,100,450,Hydroelectricity,43.75,50
4800,200,450,Hydroelectricity,43.75,51.6
4800,300,450,Hydroelectricity,43.75,51.575
4800,400,450,Hydroelectricity,43.75,53
4800,500,450,Hydroelectricity,43.75,63.575
4800,0,550,Hydroelectricity,43.75,50
4800,100,550,Hydroelectricity,43.75,50
4800,200,550,Hydroelectricity,43.75,50
4800,300,550,Hydroelectricity,43.75,51.575
4800,400,550,Hydroelectricity,43.75,51.575
4800,500,550,Hydroelectricity,43.75,56.9
4800,0,650,Hydroelectricity,43.75,50
4800,100,650,Hydroelectricity,43.75,50
4800,200,650,Hydroelectricity,43.75,50
4800,300,650,Hydroelectricity,43.75,51.575
4800,400,650,Hydroelectricity,43.75,51.6
4800,500,650,Hydroelectricity,43.75,51.7
3000,0,150,Biogas,0,50
3000,100,150,Biogas,0,51.95
3000,200,150,Biogas,0,63.8
3000,300,150,Biogas,0.116,67.175
3000,400,150,Biogas,0.112,68.9
3000,500,150,Biogas,0.128,61.1
3000,0,250,Biogas,0,50
3000,100,250,Biogas,0,50
3000,200,250,Biogas,0,51.05
3000,300,250,Biogas,0.136,60.775
3000,400,250,Biogas,0.112,62.775
3000,500,250,Biogas,0.128,59.3
3000,0,350,Biogas,0,50
3000,100,350,Biogas,0,50
3000,200,350,Biogas,0,51.05
3000,300,350,Biogas,0.132,51.075
3000,400,350,Biogas,0.132,59.825
3000,500,350,Biogas,0.128,59.75
3000,0,450,Biogas,0,50
3000,100,450,Biogas,0,50
3000,200,450,Biogas,0,50
3000,300,450,Biogas,0.132,51.075
3000,400,450,Biogas,0.132,53.2
3000,500,450,Biogas,0.132,59.275
3000,0,550,Biogas,0,50
3000,100,550,Biogas,0,50
3000,200,550,Biogas,0,50
3000,300,550,Biogas,0.132,51.125
3000,400,550,Biogas,0.132,51.3
3000,500,550,Biogas,0.124,51.95
3000,0,650,Biogas,0,50
3000,100,650,Biogas,0,50
3000,200,650,Biogas,0,50
3000,300,650,Biogas,0.136,51.2
3000,400,650,Biogas,0.136,51.375
3000,500,650,Biogas,0.124,51.6
3900,0,150,Biogas,0,50
3900,100,150,Biogas,0,64.675
3900,200,150,Biogas,0,72.05
3900,300,150,Biogas,0.312,80.45
3900,400,150,Biogas,0.14,84.925
3900,500,150,Biogas,0.112,85.175
